"url","name","Price","listedOn","favorites","numberOfReviews"
"https://www.etsy.com/listing/1589725855/montessori-busy-board-toddlersfast-free?click_key=63787db75403863bd510be5123fdd278fef2c040%3A1589725855&click_sum=6fe08eb2&ga_order=highest_reviews&ga_search_type=all&ga_view_type=gallery&ga_search_query=kids+and+baby&ref=sc_gallery-7-1&pro=1&frs=1&cns=1","Montessori Busy Board Toddlers,Fast Free Shipping,Busy Board Gift,Custom Busy Board,Christmas Gifts for Kids,Busy Board Kids,Busy Board baby","$94.50+","Feb 2, 2024",,
"https://www.etsy.com/listing/1669457255/baby-swing-toddler-indoor-swing-outdoor?click_key=f4e5ed9ff8bb25543c26bfa932beb3366532563a%3A1669457255&click_sum=813547dc&ga_order=highest_reviews&ga_search_type=all&ga_view_type=gallery&ga_search_query=kids+and+baby&ref=sc_gallery-7-2&pro=1&frs=1","Baby swing, toddler indoor swing, outdoor baby swing, wooden swing, indoor swing, kids indoor swing, kids nursery swing, wooden baby swing","$47.25+","Feb 8, 2024","19",
"https://www.etsy.com/listing/1532342812/personalized-name-night-light?click_key=2d00c2b5608ab7c60ed634eaa79275fdf2d9ac45%3A1532342812&click_sum=c67b80b0&ga_order=highest_reviews&ga_search_type=all&ga_view_type=gallery&ga_search_query=kids+and+baby&ref=sc_gallery-7-3&pro=1&frs=1&bes=1&sts=1","Personalized name night light | Personalized Gift for Baby | baby night light  |girl boy bedroom bedside light gift | Bear,Racoon,squirrel","$23.90+","Feb 10, 2024","866","94"
"https://www.etsy.com/listing/1280750074/its-a-boy-cake-topper-baby-shower-cake?click_key=da4f0860d3f4c4a35b83e3093f4a50709bb3946f%3A1280750074&click_sum=2c507a55&ga_order=highest_reviews&ga_search_type=all&ga_view_type=gallery&ga_search_query=kids+and+baby&ref=sr_gallery-8-2&organic_search_click=1&frs=1&sca=1","It's A Boy cake topper, baby shower cake topper, baby boy cake topper, straw cake topper, rustic cake topper, bunting cake topper","$19.74","Jan 26, 2024","12",
"https://www.etsy.com/listing/741855060/baby-inside-cuttable-design-png-dxf-svg?click_key=709564a8ce75d16677f1b539acd7a234e02860eb%3A741855060&click_sum=4fcc41a8&ga_order=highest_reviews&ga_search_type=all&ga_view_type=gallery&ga_search_query=kids+and+baby&ref=sr_gallery-8-1&organic_search_click=1&dd=1","Baby Inside Cuttable Design PNG DXF SVG & eps File for Silhouette Cameo and Cricut","$3.49","Jan 23, 2024","19","3"
"https://www.etsy.com/listing/1215591577/childrens-backpack-with-name?click_key=086a157a7b3aec6415e85c2912caed78c2d7337b%3A1215591577&click_sum=081b905e&ga_order=highest_reviews&ga_search_type=all&ga_view_type=gallery&ga_search_query=kids+and+baby&ref=sc_gallery-8-3&bes=1","CHILDREN'S BACKPACK WITH NAME personalized as a set with drinking bottle/kindergarten backpack/Trixie backpack for children/gift children","$22.26+","Feb 10, 2024","15639","1935"
"https://www.etsy.com/listing/1272936706/personalized-baby-backpacks-monogrammed?click_key=bb99400aee6294a4af7b50f681ed9d82fb753830%3A1272936706&click_sum=377f2aed&ga_order=highest_reviews&ga_search_type=all&ga_view_type=gallery&ga_search_query=kids+and+baby&ref=sc_gallery-8-4&sts=1","Personalized Baby Backpacks | Monogrammed Toddler Backpacks | Solid Kids Backpacks | Preschool Book Bags | Personalized Diaper Backpacks","$24.99+","Feb 5, 2024","58","13"
"https://www.etsy.com/listing/610932953/organic-world-explorer-play-mat-playmat?click_key=34dd34738abed846bdfd520e4f92dd9abaaa9f1f%3A610932953&click_sum=9699f18f&ga_order=highest_reviews&ga_search_type=all&ga_view_type=gallery&ga_search_query=kids+and+baby&ref=sc_gallery-8-2&pro=1&frs=1&etp=1&sts=1","Organic World Explorer Play Mat - Playmat - Nursery Rug -Unisex - Neutral Baby Gift Shower - Nursery Decor - Kids Room - Now Ready to Ship","$83.38","Feb 9, 2024","7359","197"
"https://www.etsy.com/listing/1177410213/sale-extra-large-busy-boardfast?click_key=2515cbfb2328e5e69206f2ece24e0be71f762fa7%3A1177410213&click_sum=919ad8f5&ga_order=highest_reviews&ga_search_type=all&ga_view_type=gallery&ga_search_query=kids+and+baby&ref=sc_gallery-8-1&pro=1&frs=1&sca=1","SALE EXTRA LARGE Busy Board,Fast Shipping,Busy Board,Busy Board 1 Year Old,Montessori Busy Board,Baby Name Busy Board,Toddler Gift for kids","$105.30+","Dec 9, 2023","120","13"
"https://www.etsy.com/listing/1152470280/first-valentines-day-baby-cut-file-first?click_key=d77bfbcece240775d93ffc70bec4c17447ccd4b2%3A1152470280&click_sum=c3fd08b7&ga_order=highest_reviews&ga_search_type=all&ga_view_type=gallery&ga_search_query=kids+and+baby&ref=sr_gallery-9-2&organic_search_click=1&dd=1","First Valentine's Day Baby cut file | First Valentines SVG | First Valentines DXF | 1st Valentine's Day | Customize Name Valentine | cricut","$3.99","Feb 10, 2024","45","3"
